Mnemonics;Status;Meaning;Unit;Regex;Values;STS_IDU(TX);STS_IDU (RX);STS_ODU (TX);STS_ODU (RX);CMD_IDU;Comment
81;17;31;;;;41;34;35;3;14;0
4Way;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
A11;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
A12;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
ALM;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
Buzz;✅;Buzzer;;;;FAUX;FAUX;FAUX;FAUX;VRAI;
CapC;❗️;Maximum unit power;kW;\d+(?:\.\d+);;VRAI;VRAI;FAUX;FAUX;FAUX;"RAK-DJ18RH return 1.8
RAK-DJ50RH return 5"
CFq1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Comm;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
CycS;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
EVD;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
FANCD1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
FanHD;❓;Fan Horizontal Direction;;;;VRAI;FAUX;FAUX;FAUX;FAUX;There is also a FanVD. But no answer and doesn’t change fan orientation
FanO;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
FanS;✅;Fan Speed;;[0-5];"auto = 0
1/5 = 4
2/5 = 3
3/5 = 2
4/5 = 1
5/5 = 5";VRAI;VRAI;VRAI;FAUX;VRAI;
FANS1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
FanSw;✅;Fan Swing;;[0-1];"stop = 0
vertical = 1";VRAI;VRAI;FAUX;FAUX;VRAI;Horizontal / both not tested (probably 2 / 3)
FanVD;❓;Fan Vertical Direction;;;;VRAI;FAUX;FAUX;FAUX;FAUX;There is also a FanHD. But no answer and doesn’t change fan orientation
FilS;✅;Filter Status 1 reset FltT;;[01];"Normal = 0
reset FltT = 1";VRAI;VRAI;FAUX;FAUX;VRAI;"After sending FilS=1, FltT reset from 121 to 0
FilS query return 0 even after setting to 1"
FltT;❗️;Filter use hours;H;\d+;;VRAI;VRAI;FAUX;FAUX;FAUX;
Fota;❓;Factory OTA;;;;VRAI;FAUX;FAUX;FAUX;FAUX;"""WiFi FCT: Factory OTA"" and other equivalent strings found in firmware"
Func1;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
Func2;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
H1;;?;;;;FAUX;FAUX;VRAI;VRAI;FAUX;
H2;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
HExT;❗️;Heat Exchanger Temperature;°C;\d{1,2}(?:\.5);"Indoor unit: 0.5°C steps

Outdoor unit: 1°C steps";VRAI;VRAI;VRAI;VRAI;FAUX;"Indoor values are lower than ambiant temperature which is coherent for an evaporator

Outdoor temperature rise above external temperature when external unit is switched on (except one time, why?) which is coherent for a condenser "
HI1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Hr;✅;Indoor Humidity (Humidity read);%;\d{1,2};;VRAI;VRAI;FAUX;FAUX;FAUX;"Continuous values in the right range
Old Hlink protocol seemed to return humidity through P0101 so it is relevant to get such a value"
Hs;;?;;;;VRAI;FAUX;FAUX;FAUX;VRAI;Possibly humidity set (found in firmware)
iE;;?;;;;VRAI;FAUX;FAUX;FAUX;FAUX;
ImOVL;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
INVCD1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
INVS1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
IsOVL;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
ItW;❓;Inverter Work;;[01];"0 = AC unit not working
1 = AC unit working";VRAI;VRAI;FAUX;FAUX;FAUX;When cooling or heating is set, the value turns to 1 after a short period, when power increase
Maint;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;Possible maintenance status (ie. Errors)
MalC;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
MdDtl;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
Mode;✅;AC mode;;;"Cool = 64
Fan = 81
Dry = 33
Heat = 16
Auto =33024";VRAI;VRAI;FAUX;FAUX;VRAI;
Modl;✅;Model name;;\w+;;VRAI;VRAI;FAUX;FAUX;FAUX;
NeTU;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
oE1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
OnOf;✅;Unit power on/off;;[01];;VRAI;VRAI;FAUX;FAUX;VRAI;
Opt1;;Options;;\d+;ECO = 1;VRAI;VRAI;FAUX;FAUX;FAUX;
Opt2;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;Doesn’t change (0) when setting ECO/BOOST/SILENT
Opt3;❗️;Options;;\d+;GoodSleep = 64 (+ Opt4=128);VRAI;VRAI;FAUX;FAUX;FAUX;GoodSleep has a timer on the remote, which has not been found so far
Opt4;✅;Options;;\d+;"Silent = 128
Boost = 64 Away = 1";VRAI;VRAI;FAUX;FAUX;FAUX;
OtUT;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
PFa1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
PinR;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
PrtI;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Pwd;✅;WiFi password;;\w+;;FAUX;FAUX;FAUX;FAUX;VRAI;
PwrC;❗️;Power Cumulative = Total Energy;Wh;\d+;;VRAI;VRAI;FAUX;FAUX;FAUX;Value is always increasing. The high the load, the faster the increase → total increasing of energy (Wh?)
PwrI;❗️;Power Instantaneous;W;\d+;;VRAI;VRAI;FAUX;FAUX;FAUX;Value is coherent with actual power consumption
PwrZ;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
Rair;✅;Air flow;L/s;\d+;;VRAI;VRAI;FAUX;FAUX;FAUX;"Increase with fan speed, boost, silence, etc. Max recorded value is 101, which means it’s not % Units could be L/s Spec for DJ400 5kW:  265 m³/h ÷ 3,6 = 74 l/s
360 m³/h ÷ 3,6 = 100 l/s
528 m³/h ÷ 3,6 = 147 l/s
608 m³/h ÷ 3,6 = 169 l/s
663 m³/h ÷ 3,6 = 184 l/s"
RlMd;✅;Real mode (HVAC);;\d+;"33088 = cool
33024 = 0
33040 = heat
Other values from Mode";VRAI;VRAI;FAUX;FAUX;FAUX;"RlMd has almost the same values as Mode
In Heat/Cool mode (33024), 

33024 = 0b10000001 00000000
Removing the upper byte give the real mode 
33040 & 0xff = 16 → heat
33024 & 0xff = 0 → idle
33088 & 0xff = 64 → cool
"
RmCt;;?;;;;VRAI;FAUX;FAUX;FAUX;FAUX;Maybe Remote Control Lock (but no answer)
RomN;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
RunI;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
RunS;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
RuSt;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
SetT;✅;Target temperature;°C;\d{1,2}(?:\.5);;VRAI;VRAI;FAUX;FAUX;VRAI;
SetTR;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
SSID;✅;Wifi SSID;;\w+;;FAUX;FAUX;FAUX;FAUX;VRAI;
Stas;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Stat;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;
SwrZ;❓;Software version;;\w+;;VRAI;VRAI;FAUX;FAUX;FAUX;Same value on all my units
Ta;✅;Outdoor temperature;°C;\d{1,2};;FAUX;FAUX;VRAI;VRAI;FAUX;Continuous and relevant values.
Td;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Td1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Tg1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Thmo;❓;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;1 when unit is ON and cooling, 0 when not cooling
Time;✅;Set indoor unit time;;\d{2}/\d{2}/\d{4} \d{2}:\d{2}:\d{2};Jj/mm/aaaa HH:MM:SS;FAUX;FAUX;FAUX;FAUX;VRAI;
To;;?;;;;VRAI;FAUX;FAUX;FAUX;FAUX;
TPID;;?;;;;VRAI;VRAI;FAUX;FAUX;FAUX;"""%s TPID:%d(%s) IDU identified. » found in firmware"
tqOVL;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
Tr;✅;Indoor temperature;°C;\d{1,2};;VRAI;VRAI;FAUX;FAUX;FAUX;Continuous and relevant values
TYPE;;?;;;;FAUX;FAUX;FAUX;FAUX;VRAI;"""TYPE: 0x%x"" found in firmware, which suggest a hex value"
UJ1;;?;;;;FAUX;FAUX;VRAI;FAUX;FAUX;
WSt;❓;WiFi Status LED;;[0-3];"OFF = 0
ON = 1";FAUX;FAUX;FAUX;FAUX;VRAI;
WtmS;❗️;Timer LED;;[0-2];"OFF = 0
ON = 1 || 2";FAUX;FAUX;FAUX;FAUX;VRAI;"Meaning could be WiFi timer Status
Cannot be set if WiFi LED is off
"